SALBRYNB,ROSETON,HQ_P1_P2,HQHIGATE,SHOREHAM,NORTHPORT
-7,734.5,1331,0,0,-0.0
112,638.0,1373,0,0,-0.0
51,196.5,1377,0,0,-0.0
50,132.5,1567,0,0,-0.0
165,-86.5,1502,0,0,-0.0
192,-61.5,1704,0,0,-0.0
198,-63.0,1740,0,0,-0.0
207,152.0,1565,0,0,-0.0
196,498.5,1425,0,0,-0.0
230,562.0,1739,0,0,-0.0
290,493.0,1652,0,0,-0.0
306,671.5,1538,0,0,-0.0
325,938.0,1544,9,0,-0.0
363,788.0,1656,12,0,-0.0
353,203.5,1735,0,0,-0.0
316,90.5,1734,0,0,-0.0
303,661.5,1646,0,0,-0.0
253,602.0,1642,0,0,-0.0
246,676.0,1580,0,0,-0.0
240,672.5,1505,0,0,-0.0
255,676.0,1197,0,0,-0.0
214,683.0,1403,0,3,-0.0
147,842.0,1404,0,3,-0.0
132,758.0,1405,0,3,-0.0
156,435.5,1479,0,3,-0.0
129,571.5,1436,0,3,-0.0
45,420.5,1470,0,3,-0.0
34,498.0,1463,0,3,-0.0
149,366.5,1345,0,3,-0.0
137,379.0,1411,0,2,-0.0
26,360.5,1414,0,2,-0.0
-42,464.5,1411,4,2,-0.0
-7,563.5,1413,3,2,-0.0
84,451.0,1413,0,2,-0.0
50,542.5,1414,89,2,-0.0
-107,828.0,1411,223,2,-4.9
-166,876.0,1411,224,2,-1.0
-164,427.5,1413,226,2,192.2
-157,232.5,1411,226,2,176.3
-114,245.0,1413,183,3,161.3
-152,302.0,1414,141,3,203.6
-158,553.5,1444,0,2,171.1
-50,704.0,1444,13,2,208.3
40,766.5,1443,21,2,204.2
136,776.0,1408,17,2,198.8
123,1071.0,1441,-6,3,178.3
115,939.0,1440,-2,3,-5.1
101,668.5,1463,0,3,38.5
109,598.6,1458,0,3,-4.9
101,577.5,1389,0,3,89.8
98,442.4,1414,0,3,187.6
148,147.3,1380,0,-20,4.8
141,393.7,1379,0,-107,6.2
118,466.4,1418,0,-109,-5.5
123,734.9,1423,134,-109,3.0
125,924.9,1527,213,-110,3.3
145,919.2,1132,223,-110,-0.3
123,592.2,37,208,-110,137.2
102,572.7,0,219,-110,5.8
113,821.8,0,202,-110,-3.4
103,938.6,0,13,-112,4.6
109,1061.0,0,19,-224,157.7
107,1134.8,0,36,-110,-8.6
159,1139.9,0,2,-30,1.0
202,1138.3,0,0,-110,-37.8
159,859.1,0,0,-227,147.9
122,968.3,0,0,-199,196.1
154,1294.7,0,0,-114,202.4
161,907.9,0,0,-147,196.6
185,647.5,0,0,-1,192.2
171,893.5,0,-1,2,0.9
174,1084.5,0,-142,2,6.7
161,1176.3,0,-104,3,196.7
129,1141.7,0,-2,3,194.0
175,1056.2,0,0,-3,193.3
162,968.5,0,0,-236,201.8
151,1053.2,0,18,-327,123.5
134,810.8,0,60,-329,176.5
162,757.9,0,48,-329,105.3
178,862.2,0,215,-329,-11.1
153,907.3,0,38,-329,-47.8
136,673.7,0,144,-329,47.3
159,807.8,0,94,-329,123.4
116,975.9,0,115,-329,147.3
55,971.4,0,61,-329,-2.9
-56,856.8,0,0,-329,56.7
-33,718.5,0,0,-329,57.3
-92,597.1,0,0,-329,-57.6
-79,854.1,0,0,-329,-64.0
67,858.2,0,0,-329,67.9
178,746.8,0,0,-329,69.5
193,1041.3,0,0,-329,202.1
184,1259.0,0,0,-327,188.7
215,973.1,0,0,-222,-4.7
402,1888.4,0,0,-436,-38.3
180,1106.1,0,0,-87,6.3
168,1189.3,0,0,-76,196.3
209,1060.0,0,0,-71,202.8
186,929.5,0,0,-215,196.8
138,694.6,0,0,-219,177.2
203,883.2,0,0,-219,88.0
196,1167.4,0,0,-219,-91.2
188,1063.9,0,0,-219,-97.3
183,1075.1,0,0,-219,-110.4
188,1113.3,0,0,-219,-75.1
190,1016.0,0,27,-219,-52.5
190,1182.4,0,51,-219,-99.8
186,1131.1,0,51,-219,-103.0
189,959.7,0,53,-219,-154.4
191,753.2,0,147,-219,-154.4
206,464.1,0,73,-219,-77.4
220,651.5,0,218,-219,-2.8
245,897.3,0,222,-184,4.9
246,950.9,23,218,-219,-6.1
205,629.1,250,6,-221,-102.9
209,724.4,511,0,-326,-95.0
179,570.2,292,0,-324,-98.0
239,358.6,291,0,-5,-86.0
243,328.3,293,0,2,-26.0
219,306.0,291,0,3,-5.9
239,43.2,293,0,3,-2.1
216,-40.7,291,0,3,-24.2
221,-142.2,287,0,0,-75.6
216,328.8,325,0,-99,-14.4
214,708.1,658,5,-217,-78.4
208,655.3,984,211,-227,-80.9
223,1003.2,1236,7,-112,-58.8
243,1249.3,1433,2,-110,-36.5
267,1138.2,1449,41,-112,-106.3
224,999.0,1458,11,-224,-54.9
219,846.3,1551,0,-230,-174.1
219,1103.1,1447,0,-230,-144.8
214,1233.6,1458,0,-230,-193.1
215,1117.2,1563,0,-230,-203.2
218,922.2,1563,58,-271,-184.1
219,727.6,1568,4,-220,-162.3
207,931.1,1599,75,-220,0.7
211,1143.6,1600,2,-119,-10.5
208,1129.9,1590,20,-227,-150.9
200,826.7,1489,20,-229,-128.3
104,338.1,1587,20,-222,-57.3
